surname,n,ppm
俎,221,0.187
及,216,0.183
夏侯,214,0.181
甯,210,0.178
运,210,0.178
稽,208,0.176
恒,203,0.172
弯,203,0.172
杰,202,0.171
杞,200,0.169
额,196,0.166
吝,195,0.165
啊,192,0.162
地,192,0.162
宏,188,0.159
力,188,0.159
职,188,0.159
风,187,0.158
建,186,0.157
帖,185,0.157
贞,185,0.157
刑,183,0.155
超,180,0.152
堵,180,0.152
看,180,0.152
校,180,0.152
中,179,0.151
四,178,0.151
钞,177,0.15
棒,176,0.149
措,176,0.149
娃,175,0.148
斌,169,0.143
弥,166,0.14
深,166,0.14
奥,161,0.136
唱,160,0.135
锡,160,0.135
锐,159,0.135
妥,158,0.134
彦,156,0.132
琳,155,0.131
芙,153,0.129
淦,153,0.129
杲,152,0.129
姗,152,0.129
袭,152,0.129
焉,152,0.129
振,151,0.128
冲,150,0.127
呙,150,0.127
将,148,0.125
段干,147,0.124
十,146,0.124
胖,145,0.123
虢,142,0.12
闻人,142,0.12
贤,141,0.119
斗,140,0.118
萌,137,0.116
树,137,0.116
家,136,0.115
飘,136,0.115
森,135,0.114
雯,134,0.113
蓉,133,0.113
翔,132,0.112
克,130,0.11
非,129,0.109
接,129,0.109
胜,129,0.109
首,129,0.109
汉,128,0.108
镇,128,0.108
陕,127,0.107
者,127,0.107
贯,126,0.107
快,126,0.107
响,124,0.105
八,123,0.104
睛,122,0.103
蕊,122,0.103
好,121,0.102
主,121,0.102
茶,120,0.102
然,119,0.101
慎,119,0.101
璐,117,0.099
墨,117,0.099
薜,116,0.098
征,115,0.097
奔,112,0.095
北,111,0.094
启,111,0.094
菲,110,0.093
羿,110,0.093
佐,110,0.093
喇,107,0.091
须,107,0.091
蛋,105,0.089
院,105,0.089
栋,103,0.087
完,103,0.087
衷,103,0.087
列,102,0.086
微,101,0.085
卡,100,0.085
出,99,0.084
君,98,0.083
三,97,0.082
部,96,0.081
肉,96,0.081
让,94,0.08
狗,91,0.077
瑶,91,0.077
宽,90,0.076
比,89,0.075
乜,88,0.074
潭,88,0.074
陀,88,0.074
揣,87,0.074
忽,87,0.074
藤,87,0.074
落,84,0.071
琪,84,0.071
蝶,83,0.07
闹,83,0.07
有,83,0.07
等,81,0.069
发,80,0.068
昆,80,0.068
闾,79,0.067
传,78,0.066
拱,78,0.066
厚,77,0.065
日,77,0.065
遇,77,0.065
考,76,0.064
璩,76,0.064
为,76,0.064
剧,75,0.063
寒,74,0.063
昊,74,0.063
公孙,73,0.062
笛,72,0.061
是,72,0.061
益,72,0.061
还,71,0.06
瓮,71,0.06
淑,70,0.059
泰,70,0.059
孝,70,0.059
宜,69,0.058
茜,68,0.058
释,68,0.058
疏,68,0.058
丑,67,0.057
谷梁,67,0.057
降,67,0.057
彤,66,0.056
宰,66,0.056
潇,65,0.055
介,64,0.054
吾,64,0.054
摆,63,0.053
懂,63,0.053
岂,63,0.053
申屠,63,0.053
奕,63,0.053
槐,62,0.052
吁,62,0.052
学,62,0.052
秘,61,0.052
仙,61,0.052
骈,60,0.051
热,59,0.05
硕,59,0.05
婉,59,0.05
业,59,0.05
男,57,0.048
少,57,0.048
源,57,0.048
诚,56,0.047
佩,56,0.047
傲,55,0.047
辰,55,0.047
乃,55,0.047
拾,55,0.047
正,55,0.047
峰,54,0.046
合,54,0.046
健,54,0.046
提,54,0.046
锦,53,0.045
菜,52,0.044
灰,52,0.044
善,52,0.044
剡,52,0.044
句,51,0.043
玛,51,0.043
亓官,51,0.043
只,51,0.043
次,50,0.042
珂,50,0.042
麒,50,0.042
卧,50,0.042
鄞,50,0.042
产,49,0.041
点,49,0.041
辉,49,0.041
琦,49,0.041
炎,49,0.041
樱,49,0.041
端木,48,0.041
公祖,48,0.041
玖,48,0.041
傻,48,0.041
岁,48,0.041
翦,47,0.04
立,47,0.04
他,47,0.04
药,47,0.04
野,47,0.04
裔,47,0.04
贠,47,0.04
桥,46,0.039
的,45,0.038
含,45,0.038
南宫,45,0.038
侬,45,0.038
淘,45,0.038
钊,45,0.038
鸿,44,0.037
呈,43,0.036
科,43,0.036
梨,43,0.036
淼,43,0.036
妙,43,0.036
世,43,0.036
羽,43,0.036
犹,42,0.036
油,42,0.036
掌,42,0.036
缴,41,0.035
教,41,0.035
羌,41,0.035
若,41,0.035
环,40,0.034
潜,40,0.034
脱,40,0.034
糟,40,0.034
把,39,0.033
百,39,0.033
具,39,0.033
添,39,0.033
绪,39,0.033
重,39,0.033
粘,38,0.032
婵,37,0.031
薇,37,0.031
溪,37,0.031
蔓,36,0.03
润,36,0.03
汶,36,0.03
珍,36,0.03
财,35,0.03
晃,35,0.03
录,35,0.03
芒,35,0.03
耀,35,0.03
早,35,0.03
不,34,0.029
婧,34,0.029
默,34,0.029
绒,34,0.029
楮,33,0.028
奂,33,0.028
津,33,0.028
亲,33,0.028
样,33,0.028
优,33,0.028
哲,33,0.028
独,32,0.027
节,32,0.027
铃,32,0.027
俏,32,0.027
莘,32,0.027
妍,32,0.027
怡,32,0.027
赢,32,0.027
邾,32,0.027
当,31,0.026
酒,31,0.026
绿,31,0.026
妈,31,0.026
们,31,0.026
能,31,0.026
杉,31,0.026
厍,31,0.026
巫马,31,0.026
彪,30,0.025
佴,30,0.025
公伯,30,0.025
朦,30,0.025
图,30,0.025
友,30,0.025
芸,30,0.025
允,30,0.025
层,29,0.025
尔,29,0.025
公西,29,0.025
坚,29,0.025
礼,29,0.025
士,29,0.025
灯,28,0.024
逗,28,0.024
俄,28,0.024
浮,28,0.024
南门,28,0.024
勤,28,0.024
威,28,0.024
钏,27,0.023
府,27,0.023
革,27,0.023
息,27,0.023
尘,26,0.022
葱,26,0.022
呆,26,0.022
蜂,26,0.022
警,26,0.022
隽,26,0.022
郐,26,0.022
蜜,26,0.022
邳,26,0.022
散,26,0.022
霜,26,0.022
弦,26,0.022
锋,25,0.021
扣,25,0.021
联,25,0.021
庭,25,0.021
璇,25,0.021
蚁,25,0.021
采,24,0.02
公仲,24,0.02
融,24,0.02
长孙,24,0.02
踪,24,0.02
潮,23,0.019
菁,23,0.019
芈,23,0.019
名,23,0.019
诗,23,0.019
